Name,URL,Price,Revenue,Income,Type,Status,Description_x,Location,Region,Description_y,SDE,Multiple,Currency,EBITDA
Hormone Health Subscription Business,https://businessexits.com/listing/hormone_health_subscription/,100000000.0,17678000.0,9138000.0,Service,Sale Pending,,,all,"For sale is a 9-year-old Florida-based remote regenerative medical clinic offering hormone, weight loss, and hair loss therapy to patients across the United States.  The company has a massive provider network of physicians, ensuring it meets state and federal compliance when the Ryan Haight Act resumes in late 2025.
The rapidly growing company has experienced a 400% gross sales increase since 2022.  It operates on a subscription-based model with an estimated monthly recurring revenue of $1M.  The company focuses on providing quality care at an affordable price and is often priced lower than its few true competitors.
As part of the acquisition, the buyer will inherit a robust team of key employees, each playing a crucial role in the clinic’s operations.  The team includes executive management and an advisory board, all of whom bring a wealth of knowledge and experience to the company.  In addition, there are both on and offshore staff, totaling 50+ team members, who have demonstrated excellent teamwork and efficiency.  With this team in place, the buyer will have the support they need, requiring only general business skills and no specific licenses to own the business.  Additionally, the sale includes a brand new future-proofed 9,000 sq. ft. USP 800-compliant sterile compounding pharmacy to ensure the industry-leading highest margins even as sales skyrocket.
**Due to the sensitive nature of the business, we will be contacting you directly after NDA submission to qualify your organization before sharing the CIM/Financials.**
","$9,138,000",,USD,
Ireland Construction Business,https://businessexits.com/listing/ireland_construction_co/,20100000.0,2504136620232024.0,286773920232024.0,Construction,,,,all,"This business, established in 2010, specializes in providing construction services for  various buildings, including apartment blocks, hotels, and office buildings, as well as their associated basements and undercrofts. Projects typically last up to two years, and the company collaborates with some of the largest main contractors in Ireland, completing projects that range in value from €500,000 to €15 million, often on a labor and plant-only basis.
Industry Overview: The construction industry, particularly in Ireland, is experiencing a renaissance with significant government investments and a revival in office and residential developments. According to industry insights, the sector is set to flourish, backed by a €6 billion allocation for housing and a surge in renovation projects for aging buildings. This backdrop provides a fertile ground for growth-oriented businesses in the construction domain.
Growth & Expansion: The future outlook for this business is exceptionally bright, with opportunities to double turnover by integrating a full supply model. Expansion into other key cities presents an untapped avenue for growth, building on the firm’s success. Additionally, leveraging emerging markets and diversifying the workforce could further enhance operational capabilities and market reach.
Facilities: The business has a dedicated office space spanning 3,000 square feet, complemented by 8,000 square feet of warehousing and a substantial 90,000 square feet concrete yard area. This strategic setup enables efficient project management, logistics, and supply of equipment for on-site operations, ensuring high productivity and collaboration among the team.
The transaction includes approximately €9.5 million in total assets. The company employs a dedicated workforce of 250 to 350 individuals, led by a strong management team. The current owners are eager to stay with the company after the sale, and they are confident that the existing team will also remain with the business.",,7x,USD,"€2,730,000"
IT Services and Systems Integrator in Saudi Arabia,https://businessexits.com/listing/it_services_systems_integrator_sa/,Listing Price: Open to Offers,642444662023.0,85320392023.0,"Service, Software/SaaS",,,,all,"This full-service ICT solutions provider, based in Saudi Arabia, was established in 2017. Specializing in IT consulting, managed services, systems integration, and advanced cybersecurity, the company serves a diverse client base that includes government agencies, telecom companies, commercial enterprises, and SMEs. It is recognized for its deep understanding of the local market, strong alignment with Vision 2030, and a commitment to innovation through strategic partnerships with global technology leaders.
Operating with a team of 70+ full-time employees, the company maintains a low turnover rate thanks to a strong organizational culture, competitive compensation, and continuous learning opportunities. Revenue is diversified across multiple verticals—65% from network and data center projects, 20% from professional services, and 15% from cybersecurity solutions. Approximately 20% of revenue is recurring, with an average order value of 2.2M SAR. The business achieved 53% revenue growth in 2024 and is projecting 450M SAR in revenue for 2025, driven by large-scale digital transformation contracts and increasing demand for cybersecurity services.  Financials for 2024 are in the process of being translated.
With ISO/IEC 27017 and 27018 certifications, the cybersecurity division has rapidly expanded since its launch in 2023, offering over 15 distinct services including risk assessments, penetration testing, SIEM implementation, and cloud security consulting. The company operates from a 400 sqm leased office and warehouse, with 21M SAR in inventory included in the sale. Its agile approach, customized solutions, and strong readiness for growth through partnerships, regional expansion, or M&A make this business an exceptionally attractive opportunity for investors or strategic buyers in the ICT sector.
Due to the sensitive nature of the business, we will be contacting you directly after NDA submission to qualify your organization before sharing the CIM/Financials.

",,,USD,
Metal Building Supplier with US Manufacturing,https://businessexits.com/listing/metal_building_us_manufacturing/,18000000.0,33070486.0,3201165.0,"Construction, Service",,,,all,"This U.S.-based metal building supply and installation company specializes in self-storage and pre-engineered structures. Serving clients nationwide, it operates with a lean, tech-enabled team and has experienced rapid year-over-year revenue growth.
A standout feature of the business is its exclusive use of 100% American-made steel, ensuring quality, reliability, and protection from tariff-related disruptions. This domestic sourcing strategy not only supports U.S. manufacturing but also enables consistent pricing and dependable delivery schedules.
The company’s proprietary quoting and project management systems allow it to price jobs 5-6% below market averages, without compromising on design standards. A strong vendor base (20+ suppliers) and six dedicated subcontractor crews provide operational flexibility and scalability.
Client acquisition is driven by word of mouth, referrals, repeat business, trade shows, and a structured cold-calling program. The team is experienced, cross-trained, and supported by project managers who conduct on-site visits every 2 to 4 weeks.
No special licenses are required for a buyer. This opportunity is ideal for someone with a background in construction, engineering, or business operations, and looking to grow an already high-performing platform.
This listing requires seller approval for the CIM. We appreciate your patience as we receive approval and we will send you the CIM as soon as possible.
",,5.6x,USD,
Emergency Plumbing Business in Southeast,https://businessexits.com/listing/emergency_plumbing_southeast/,1800000022000000.0,120000002024.0,39600002024.0,Service,Sale Pending,,,all,"For sale is a 5-year-old plumbing company in the southeast that primarily serves residential customers needing emergency services. The company offers general plumbing, drain cleaning, water heaters, sewers, and emergency services.
It has achieved significant growth in only a few years, is steady year-round, and averages revenue of $1,084 per customer. They are planning to offer service plans which should further accelerate growth. Currently, 90% of the revenue comes from emergency services, and 95% of the customers are residential, warranting an excellent customer diversification ratio.
The company attracts new employees by offering a training program and utilizing smart glasses technology, which enables “telepresence” communication with field workers. The glasses provide unparalleled speed and diagnostic support for technicians.
Altogether, the owner believes there are over 30 employees who will remain with the buyer. There are three key employees who are managers, and one of them could be promoted to general manager. Additionally, two employees hold Master Plumbers Licenses, which are required to operate the company. The only other license required by the buyer is a business license.
","$3,960,000",,USD,
B2B Experiential Marketing Vendor,https://businessexits.com/listing/b2b_experiential_marketing/,1600000020000000.0,14277492.0,3297944.0,"Marketing & Consulting, Service",Sale Pending,,,all,"For Sale is a nearly 30-year-old company located in the Western United States that offers services and designs for trade shows and exhibits, experiential marketing, retail execution, environments, and wholesale marketing. It also produces rigid signs and displays, vinyl graphics, banners, building wraps, SEG Framing and light boxes, wall coverings, and decor. Approximately 75% of the revenue is from in-person and live events and 25% from printing.
The company boasts a diverse and loyal clientele, including retail, wholesale, and corporate clients. It serves small and Fortune 500 companies, all of whom value the expertise in creating a specific look or feeling for brand promotion. With an average revenue per project between $10,000 and $20,000, its success is not dependent on any single customer, ensuring the company’s stable and promising future.
There are 80+ highly skilled employees, and several key employees are staying with the business. Key employees include an Operations Manager with 20+ years of experience, a CFO, two Production Managers, an HR Director, and a Facilities Manager. The sellers are willing to remain with the company as it grows and hold a minority stake in it. A preferred investor will have a background in the event or retail industry and strong sales and marketing skills to propel the company to the next level.
","$3,297,944",,USD,
Department of Defense Electrical Prime Contractor,https://businessexits.com/listing/dod_electrical_contractor/,18000000.0,11915508.0,5163084.0,"Construction, Service",Sale Pending,,,all,"For sale is a well-established Department of Defense Prime Contractor offering medium and high-voltage electrical services such as electrical power distribution, interior/exterior lighting, and underground utility infrastructure for federal and military installations. The company has a long-term contract in place, which guarantees near-infinite availability of work over the next 10 years.
Like many companies, in 2021 and 2022, COVID caused many frustrations for the company, including rising cost of materials, supplier shortages, and employee retention, all of which contributed to the decline and fluctuations in revenue and earnings. One large, hugely problematic project resulted in a loss upon completion in 2022. These issues have been resolved, and margins are expected to return to normal in 2024.
Since the company works on Department of Defense contracts, no special licensing is needed for the owner. However, licensing beyond the employees would be necessary if the buyer started working outside the Federal Government contracts.
","$5,163,084",3.5x,USD,
Texas Based Non-Emergency Medical Transport,https://businessexits.com/listing/non_emergency_medical_transport/,15000000.0,7743083.0,2874318.0,Service,Sale Pending,,,all,"
This listing requires seller approval for the CIM. We appreciate your patience as we receive approval and we will send you the CIM as soon as possible.",,5.2x,USD,"$2,874,318"
"Design & Build Studio for Themed Props, Structures, & Interactive Experiences",https://businessexits.com/listing/design_build_studio_interactive_exp/,12000000.0,100224342024.0,30577302024.0,"Construction, Manufacturing, Service",Sale Pending,,,all,"An 11-year-old Midwest design and fabrication studio specializing in themed environments, interactive activations, immersive experiences, conceptual design, and fiberglass fabrication is for sale. Nearly 30% of revenue comes from fiberglass fabrication, while 70% is from other services.
The owner is having to pass on multi-million dollar contracts due to not having the working capital and bandwidth to service the jobs, therefore he would ideally like a partner to buy majority equity and help with some operations, while he also operates to scale those large projects and oversees design . Ideally the buyer has access to capital to continue funding growth on these large project opportunities post-close. He feels he has taken the business from “zero to one” and now needs a partner to take it to the next level.
The company already has large clients and partnerships, some with master service agreements (MSAs). It has a few competitors but also maintains good relationships with them, often acting as a subcontractor on their projects.  The company is also authorized to sell to the US government. Project sizes can range from $100k to multi-million. After the Covid pause of in-person events, the owner is now seeing large events surge, with corporate brands creating more designs at conferences and brand activation events. The surge in events is creating year-over-year financial growth.  He expects this trend to continue and be able to service larger jobs in the coming years.
The company comprises a highly skilled team of over 50 employees, with a senior management team in place. Ideally, the investor would possess the knowledge or resources to provide professionalization in HR, accounting, taxes, and other business management processes and strategies.","$3,057,730",4x,USD,
Government Contract ERP Service Business,https://businessexits.com/listing/government_contract_erp/,12000000.0,14046972.0,2572171.0,"Service, Software/SaaS",Sale Pending,,,all,"For sale is a 7-year-old software consulting company. The company offers a wide range of ERP services and is owned by veterans and service-disabled individuals. Their technical and functional experts team provides leadership in Project Management, Solution Design, Testing Management, Data Management, Business Intelligence, and Reporting using third-party software. They also offer custom-built add-ons to suit unique client requirements.
While the company can work with commercial clients in any industry that uses SAP, its primary focus is supporting contractors working with the Department of Defense. They have approximately 60 contractors working for them and partner with two well-known primary contractors. The Department of Defense contracts typically span five to seven years, and the prices vary based on education, experience, and certification requirements. There are three active IDIQ (Infinite Delivery Infinite Quantity) contracts, all of which expire in 2026 or later. Due to the nature of these contracts, the contracts will likely be renewed.
The company has a unique position regarding its prime/sub relationship. Even if the Prime contractor changes during or after each contract renewal, the company and its employees remain on the project. The employees have non-competes that prevent the prime contractor from poaching them, unlike many sub/prime relationships in the government space. A Veteran would be an ideal buyer since the new owner will need security clearance from the Department of Defense.","$2,572,171",4.66x,USD,
